author,name,year,genres,isRead,series,seriesOrder,isOnShelf,fieldOfStudy,shelf,inProgress,isWishlist,isPlan2026
Саманта Шенон,"День, когда пала ночь",2021,,FALSE,The Roots of Chaos,1,TRUE,,Ведьмак,FALSE,,TRUE
Саманта Шенон,Обитель апельсинового дерева,2025,,TRUE,The Roots of Chaos,2,FALSE,,Ведьмак,FALSE,,TRUE
Виктор Дашкевич,Граф Аверин,2000,,TRUE,Колдун Российской империи,1,FALSE,,,FALSE,,TRUE
Виктор Дашкевич,Императорский Див,1996,,TRUE,Колдун Российской империи,2,FALSE,,,FALSE,,TRUE
Виктор Дашкевич,Демон из пустоши,2004,,TRUE,Колдун Российской империи,3,FALSE,,,FALSE,,TRUE
Екатерина Звонцова,"Чудо, тайна и авторитет",2005,,FALSE,,,FALSE,,,FALSE,,TRUE
Яна Лехчина,Лихо. Медь и мёд,2003,,TRUE,Лихо,1,FALSE,,,FALSE,,TRUE
Яна Лехчина,Лихо. Двенадцать железных цепей,1998,,FALSE,Лихо,2,FALSE,,,FALSE,TRUE,TRUE
Лия Арден,Невеста ноября,2010,,FALSE,,,FALSE,,,FALSE,,TRUE
Мария Покусаева,Чёрная невеста,2009,,FALSE,,,FALSE,,,FALSE,,TRUE
Оксана Пелевина,Тайна последнего предсказания ,2013,,FALSE,,,FALSE,,,FALSE,,TRUE
Елена Станиславская,Младшая сестра смерти,2022,,TRUE,,,TRUE,,фентезятина,FALSE,,TRUE
Анастасия Гор,Рубиновый лес ,2022,,TRUE,Рубиновый лес,1,FALSE,,фантастика,FALSE,,TRUE
Анастасия Гор,Кристальный пик ,1991,,TRUE,Рубиновый лес,2,TRUE,,фентезятина,FALSE,,TRUE
Диана Чайковская,Я выжгу в себе месть,2021,фэнтези,FALSE,,,TRUE,,фентезятина,FALSE,,TRUE
"Тамара Рыльская, Герман Рыльский",Гретель и её бесы ,1993,,FALSE,,,TRUE,,фентезятина,FALSE,,TRUE
Евгения Сафонова,Карнавал лжи,2025,фэнтези,FALSE,Темные игры Лиара,2,TRUE,,фентезятина,FALSE,,TRUE
Евгения Сафонова,Кукольная королева,2023,,FALSE,Темные игры Лиара,1,FALSE,,,FALSE,,TRUE
Ульяна Нижинская,Недетские сказки,2023,,TRUE,,,FALSE,,,FALSE,,TRUE
Данила Конев,Пятый мир ,2023,,FALSE,,,FALSE,английский,роментези,FALSE,,TRUE
Уна Харт,Расскажи мне сказку,2023,,TRUE,,,TRUE,английский,роментези,FALSE,,TRUE
Анастасия Гор,2:36 по Аляске,2024,,TRUE,,,TRUE,английский,роментези,FALSE,,TRUE
"Эми Кауфман, Джей Кристофф",Иллюминэ ,2018,,TRUE,"Досье ""Иллюминэ""",1,TRUE,английский,HP,FALSE,,TRUE
"Эми Кауфман, Джей Кристофф",Гемина,2018,,TRUE,"Досье ""Иллюминэ""",2,TRUE,английский,HP,FALSE,,TRUE
"Эми Кауфман, Джей Кристофф",Обсидио,2018,,FALSE,"Досье ""Иллюминэ""",3,TRUE,английский,HP,FALSE,,TRUE
Джей Кристофф,Империя вампиров ,2018,,FALSE,Империя вампиров,1,TRUE,английский,HP,FALSE,,TRUE
Джей Кристофф,Неночь,2017,,TRUE,Хроники Неночи,1,TRUE,,Ведьмак,FALSE,,FALSE
Джей Кристофф,Годсгрейв ,2017,,FALSE,Хроники Неночи,2,TRUE,,Ведьмак,FALSE,,FALSE
Джей Кристофф,Тёмный рассвет,2017,,FALSE,Хроники Неночи,3,TRUE,,Ведьмак,FALSE,,FALSE
Фрэнк Герберт,Дюна,2016,,FALSE,Вселенная Дюны,1,TRUE,,Ведьмак,FALSE,,FALSE
Джордж Мартин,Игра престолов ,2016,,TRUE,Песнь льда и пламени,1,TRUE,,Ведьмак,FALSE,,FALSE
Джордж Мартин,Битва королей,2017,,TRUE,Песнь льда и пламени,2,TRUE,,Ведьмак,FALSE,,FALSE
Джордж Мартин,Дом драконов,2016,,TRUE,Пламя и кровь,,TRUE,,Ведьмак,FALSE,,FALSE
Нора Сакавич,Элизиум,1977,,FALSE,,,TRUE,,классика,FALSE,,FALSE
Лин Рина,Книжные хроники. Анимант Крамб,1977,,FALSE,Книжные хроники Анимант Крамб,1,TRUE,,классика,FALSE,,FALSE
Лин Рина,Вселенная Анимант Крамб. Лондонские хроники,1990,,FALSE,Книжные хроники Анимант Крамб,2,FALSE,,,FALSE,,FALSE
Лекси Райан,Эти лживые клятвы,1991,,FALSE,,,FALSE,,,FALSE,,FALSE
Тэмсин Мьюир,Гидеон из Девятого дома,1993,,TRUE,Запертая гробница,1,FALSE,,,FALSE,,FALSE
Тэмсин Мьюир,Харроу из Девятого дома,1990,,TRUE,Запертая гробница,2,FALSE,,,FALSE,,FALSE
Эйлин Рей,Слёзы Эрии,1994,,FALSE,"Там, где не воют волки",1,FALSE,,,FALSE,,FALSE
Эйлин Рей,Сердце Эрии,1992,,FALSE,"Там, где не воют волки",2,FALSE,,,FALSE,,FALSE
Кэти Хэйс,Затворники,2025,нонфик,FALSE,,,TRUE,,нонфик,FALSE,,FALSE
Шеннон Макгвайр,"Вниз, сквозь ветки и кости.",2012,,FALSE,,,TRUE,,фентезятина,FALSE,,FALSE
Лия Арден,Достойный высший суд,2011,,TRUE,Охотники за мирами,1,TRUE,,фентезятина,FALSE,,FALSE
Лия Арден,Золото в тёмной ночи,2014,,TRUE,Охотники за мирами,2,TRUE,,фентезятина,FALSE,,FALSE
Лия Арден,Безупречная луна,2018,,TRUE,Охотники за мирами,3,TRUE,,классика,FALSE,,FALSE
Кристина Каст,Магия беды,2018,,FALSE,,,TRUE,,классика,FALSE,,FALSE
Дин Лейлек,Карнивора,2012,,FALSE,,,FALSE,,фантастика,FALSE,,FALSE
Джезебел Морган,Иди через тёмный лес ,2017,,FALSE,Иди через темный лес,1,FALSE,,фантастика,FALSE,,FALSE
Джезебел Морган,Вслед за змеями,2013,,FALSE,Иди через темный лес,2,FALSE,,фантастика,FALSE,TRUE,FALSE
Кэмерон Джонстон,Мерзкая семёрка ,2020,,TRUE,,,FALSE,,фантастика,FALSE,,FALSE
К. С. Пакат,И тьма взойдёт,2020,,TRUE,,,TRUE,,фантастика,FALSE,,FALSE
Хлоя Гонг,Эти бурные чувства,2020,,FALSE,,,TRUE,,фантастика,FALSE,,FALSE
Ханна Уиттен,Дочь для волка ,2021,,FALSE,,,TRUE,,фантастика,FALSE,,FALSE
Мария Вой,Сиротки,2017,,TRUE,Сиротки,1,TRUE,,фантастика,FALSE,,FALSE
