author,name,year,genres,isRead,series,seriesOrder,isOnShelf,fieldOfStudy,shelf,inProgress,isWishlist,isPlan2026
Анджей Сапковский,Дорога без возврата,2021,,FALSE,Ведьмак,1,TRUE,,Ведьмак,FALSE,FALSE,TRUE
Анджей Сапковский,Перекрёсток воронов,2025,,FALSE,Ведьмак,0,FALSE,,Ведьмак,FALSE,TRUE,TRUE
Роберт Джордан,Зима сердца,2000,,FALSE,Колесо времени,9,FALSE,,,FALSE,FALSE,TRUE
Роберт Джордан,Корона мечей,1996,,FALSE,Колесо времени,7,FALSE,,,FALSE,FALSE,TRUE
Роберт Джордан,Новая весна,2004,,FALSE,Колесо времени,0,FALSE,,,FALSE,FALSE,TRUE
Роберт Джордан,Нож грёз,2005,,FALSE,Колесо времени,11,FALSE,,,FALSE,FALSE,TRUE
Роберт Джордан,Перекрёстки сумерек,2003,,FALSE,Колесо времени,10,FALSE,,,FALSE,FALSE,TRUE
Роберт Джордан,Путь кинжалов,1998,,FALSE,Колесо времени,8,FALSE,,,FALSE,FALSE,TRUE
"Роберт Джордан, Брендон Сандерсон",Башни Полуночи,2010,,FALSE,Колесо времени,13,FALSE,,,FALSE,FALSE,TRUE
"Роберт Джордан, Брендон Сандерсон",Гроза бурь,2009,,FALSE,Колесо времени,12,FALSE,,,FALSE,FALSE,TRUE
"Роберт Джордан, Брендон Сандерсон",Память Света,2013,,FALSE,Колесо времени,14,FALSE,,,FALSE,FALSE,TRUE
"роберт джордан, тереза паттерсон",колесо времени. иллюстрированная энциклопедия,2022,,FALSE,Колесо времени,,TRUE,,фентезятина,FALSE,FALSE,TRUE
Джеймс Кори,Падение Левиафана,2022,,FALSE,Пространство,9,FALSE,,фантастика,FALSE,TRUE,TRUE
Джон Рональд Руэл Толкиен,Властелин колец,1991,,FALSE,Средиземье,3,TRUE,,фентезятина,FALSE,FALSE,TRUE
Джон Рональд Руэл Толкиен,Сильмари́ллион,2021,фэнтези,FALSE,Средиземье,1,TRUE,,фентезятина,FALSE,TRUE,TRUE
Джон Рональд Руэл Толкиен,хоббит или туда и обратно,1993,,TRUE,Средиземье,2,TRUE,,фентезятина,FALSE,FALSE,TRUE
Джон Рональд Руэл Толкин ,падение Нуменора ,2025,фэнтези,FALSE,Средиземье,,TRUE,,фентезятина,FALSE,FALSE,TRUE
"Екатерина Казакова, Алена Харитонова",Наследники скорби,2023,,FALSE,Ходящие в ночи,2,FALSE,,,FALSE,FALSE,TRUE
"Екатерина Казакова, Алена Харитонова",Пленники раздора,2023,,FALSE,Ходящие в ночи,3,FALSE,,,FALSE,FALSE,TRUE
Rebecca Yarros,Fourth Wing,2023,,FALSE,Empyrean,1,FALSE,английский,роментези,FALSE,TRUE,TRUE
Rebecca Yarros,Iron Flame,2023,,FALSE,Empyrean,2,TRUE,английский,роментези,FALSE,FALSE,TRUE
Rebecca Yarros,Onyx Storm,2024,,FALSE,Empyrean,3,TRUE,английский,роментези,FALSE,FALSE,TRUE
J.K.Rowling,Harry Potter and the deathly hallows,2018,,FALSE,Harry Potter,7,TRUE,английский,HP,FALSE,FALSE,TRUE
J.K.Rowling,Harry Potter and the goblet of fire,2018,,FALSE,Harry Potter,4,TRUE,английский,HP,FALSE,FALSE,TRUE
J.K.Rowling,Harry Potter and the half-blood prince,2018,,FALSE,Harry Potter,6,TRUE,английский,HP,FALSE,FALSE,TRUE
J.K.Rowling,Harry Potter and the order of phoenix,2018,,FALSE,Harry Potter,5,TRUE,английский,HP,FALSE,FALSE,TRUE
Анджей Сапковский,Башня ласточки,2017,,TRUE,Ведьмак,9,TRUE,,Ведьмак,FALSE,FALSE,FALSE
Анджей Сапковский,Владычица озера,2017,,TRUE,Ведьмак,10,TRUE,,Ведьмак,FALSE,FALSE,FALSE
Анджей Сапковский,Крещение огнём,2017,,TRUE,Ведьмак,8,TRUE,,Ведьмак,FALSE,FALSE,FALSE
Анджей Сапковский,Кровь эльфов,2016,,TRUE,Ведьмак,6,TRUE,,Ведьмак,FALSE,FALSE,FALSE
Анджей Сапковский,Мечь Предназначения,2016,,TRUE,Ведьмак,5,TRUE,,Ведьмак,FALSE,FALSE,FALSE
Анджей Сапковский,Последнее желание,2017,,TRUE,Ведьмак,3,TRUE,,Ведьмак,FALSE,FALSE,FALSE
Анджей Сапковский,Час презрения,2016,,TRUE,Ведьмак,7,TRUE,,Ведьмак,FALSE,FALSE,FALSE
александр дюма,граф монте кристо. том 1,1977,,TRUE,Граф Монте Кристо,1,TRUE,,классика,FALSE,FALSE,FALSE
александр дюма,граф монте кристо. том 2,1977,,TRUE,Граф Монте Кристо,2,TRUE,,классика,FALSE,FALSE,FALSE
Роберт Джордан,Великая охота,1990,,TRUE,Колесо времени,2,FALSE,,,FALSE,FALSE,FALSE
Роберт Джордан,Возрождённый дракон,1991,,TRUE,Колесо времени,3,FALSE,,,FALSE,FALSE,FALSE
Роберт Джордан,Огни Небес,1993,,TRUE,Колесо времени,5,FALSE,,,FALSE,FALSE,FALSE
Роберт Джордан,Око мира,1990,,TRUE,Колесо времени,1,FALSE,,,FALSE,FALSE,FALSE
Роберт Джордан,Повелитель хаоса,1994,,TRUE,Колесо времени,6,FALSE,,,FALSE,FALSE,FALSE
Роберт Джордан,Тень восходящая,1992,,TRUE,Колесо времени,4,FALSE,,,FALSE,FALSE,FALSE
Владимир Петрухин,Мифы о мире мёртвых,2025,нонфик,FALSE,Мифы от и до,,TRUE,,нонфик,FALSE,FALSE,FALSE
Джордж Р.Р. Мартин,Буря мечей,2012,,TRUE,Песнь льда и пламени,2,TRUE,,фентезятина,FALSE,FALSE,FALSE
