author,name,year,genres,isRead,isReread,series,seriesOrder,isOnShelf,fieldOfStudy,shelf
Анджей Сапковский,Дорога без возврата,2021,фэнтези,FALSE,,Ведьмак,1,TRUE,,Ведьмак
Анджей Сапковский,Перекрёсток воронов,2025,фэнтези,FALSE,,Ведьмак,0,FALSE,,Ведьмак
Анджей Сапковский,Владычица озера,2017,фэнтези,TRUE,TRUE,Ведьмак,10,TRUE,,Ведьмак
Анджей Сапковский,Час презрения,2016,фэнтези,TRUE,TRUE,Ведьмак,7,TRUE,,Ведьмак
Анджей Сапковский,Башня ласточки,2017,фэнтези,TRUE,TRUE,Ведьмак,9,TRUE,,Ведьмак
Анджей Сапковский,Крещение огнём,2017,фэнтези,TRUE,TRUE,Ведьмак,8,TRUE,,Ведьмак
Анджей Сапковский,Кровь эльфов,2016,фэнтези,TRUE,TRUE,Ведьмак,6,TRUE,,Ведьмак
Анджей Сапковский,Последнее желание,2017,фэнтези,TRUE,TRUE,Ведьмак,3,TRUE,,Ведьмак
Анджей Сапковский,Мечь Предназначения,2016,"фэнтези, сборник",TRUE,TRUE,Ведьмак,5,TRUE,,Ведьмак
александр дюма,граф монте кристо. том 1,1977,роман,TRUE,FALSE,Граф Монте Кристо,1,TRUE,,классика
александр дюма,граф монте кристо. том 2,1977,роман,TRUE,FALSE,Граф Монте Кристо,2,TRUE,,классика
Джордж Р.Р. Мартин,Игра престолов,2011,"фэнтези, сборник",TRUE,FALSE,Песнь льда и пламени,1,TRUE,,фентезятина
Джордж Р.Р. Мартин,Буря мечей,2012,"фэнтези, сборник",TRUE,FALSE,Песнь льда и пламени,2,TRUE,,фентезятина
Джордж Р.Р. Мартин,Танец с драконами,2014,"фэнтези, сборник",TRUE,FALSE,Песнь льда и пламени,3,TRUE,,фентезятина
Льюис Кэрролл,Алиса в зазеркалье,2018,роман,FALSE,,Приключения Алисы,2,TRUE,,классика
Льюис Кэрролл,Алиса в стране чудес,2018,роман,FALSE,,Приключения Алисы,1,TRUE,,классика
Джеймс Кори,Пожар Сиболы,2021,фантастика,TRUE,FALSE,Пространство,4,TRUE,,фантастика
Джеймс Кори,Война Калибана,2012,фантастика,TRUE,FALSE,Пространство,2,FALSE,,фантастика
Джеймс Кори,Падение Левиафана,2022,фантастика,FALSE,FALSE,Пространство,9,FALSE,,фантастика
Джеймс Кори,Врата Абаддона,2013,фантастика,TRUE,FALSE,Пространство,3,FALSE,,фантастика
Джеймс Кори,Восстание Персеполиса,2017,фантастика,TRUE,FALSE,Пространство,7,FALSE,,фантастика
Джеймс Кори,Гнев Тиамат,2020,фантастика,TRUE,FALSE,Пространство,8,FALSE,,фантастика
Джеймс Кори,Пепел Вавилона,2020,фантастика,TRUE,FALSE,Пространство,6,TRUE,,фантастика
Джеймс Кори,Игры Немезиды,2020,фантастика,TRUE,FALSE,Пространство,5,TRUE,,фантастика
Джеймс Кори,Пробуждение Левиафана,2017,фантастика,TRUE,FALSE,Пространство,1,TRUE,,фантастика
Джон Рональд Руэл Толкиен,хоббит или туда и обратно,1993,фэнтези,TRUE,TRUE,Средиземье,2,TRUE,,фентезятина
Джон Рональд Руэл Толкиен,Властелин колец,1991,"фэнтези, сборник",FALSE,,Средиземье,3,TRUE,,фентезятина
Джон Рональд Руэл Толкиен,Сильмари́ллион,2021,"сборник, фэнтези",FALSE,,Средиземье,1,FALSE,,фентезятина
Стефани Майер,Затмение,2007,фэнтези,TRUE,TRUE,Сумерки сага,3,TRUE,,роментези
Стефани Майер,Сумерки,2005,фэнтези,TRUE,TRUE,Сумерки сага,1,TRUE,,роментези
Стефани Майер,Новолуние,2006,фэнтези,TRUE,TRUE,Сумерки сага,2,TRUE,,роментези
Стефани Майер,Рассвет,2008,фэнтези,TRUE,TRUE,Сумерки сага,4,TRUE,,роментези
Александра Риплей,Скарлетт,1992,роман,FALSE,,Унесённые ветром,3,TRUE,,старьёвщик
Маргарет Митчелл,Унесённые ветром. Том 2,1990,роман,FALSE,,Унесённые ветром,2,TRUE,,старьёвщик
Маргарет Митчелл,Унесённые ветром. Том 1,1990,роман,FALSE,,Унесённые ветром,1,TRUE,,старьёвщик
Rebecca Yarros,Onyx Storm,2024,фэнтези,FALSE,,Empyrean,3,TRUE,английский,роментези
Rebecca Yarros,Fourth Wing,2023,фэнтези,FALSE,,Empyrean,1,FALSE,английский,роментези
Rebecca Yarros,Iron Flame,2023,фэнтези,FALSE,,Empyrean,2,TRUE,английский,роментези
J.K.Rowling,Harry Potter and the goblet of fire,2018,роман,FALSE,,Harry Potter,4,TRUE,английский,HP
J.K.Rowling,Harry Potter and the order of phoenix,2018,роман,FALSE,,Harry Potter,5,TRUE,английский,HP
J.K.Rowling,Harry Potter and the half-blood prince,2018,роман,FALSE,,Harry Potter,6,TRUE,английский,HP
J.K.Rowling,Harry Potter and the prisoner of Azkaban,2018,роман,FALSE,,Harry Potter,3,TRUE,английский,HP
J.K.Rowling,Harry Potter and the deathly hallows,2018,роман,FALSE,,Harry Potter,7,TRUE,английский,HP
J.K.Rowling,Harry Potter and the pholosopher's stone,2018,роман,TRUE,FALSE,Harry Potter,1,TRUE,английский,HP
J.K.Rowling,Harry Potter and the chamber of secrets,2018,роман,TRUE,FALSE,Harry Potter,2,TRUE,английский,HP
"Robert Jordan, Brandon Sanderson",A Memory of Light,2013,фэнтези,FALSE,,Wheel of time,14,FALSE,английский,wheely
Robert Jordan,New Spring,1998,фэнтези,FALSE,,Wheel of time,0,FALSE,английский,wheely
Robert Jordan,The Eye of the World,1990,фэнтези,FALSE,,Wheel of time,1,FALSE,английский,wheely
Robert Jordan,The Great Hunt,1990,фэнтези,FALSE,,Wheel of time,2,FALSE,английский,wheely
Robert Jordan,The Dragon Reborn,1991,фэнтези,FALSE,,Wheel of time,3,FALSE,английский,wheely
Robert Jordan,The Shadow Rising,1992,фэнтези,FALSE,,Wheel of time,4,FALSE,английский,wheely
Robert Jordan,The Fires of Heaven,1993,фэнтези,FALSE,,Wheel of time,5,FALSE,английский,wheely
Robert Jordan,Lord of Chaos,1994,фэнтези,FALSE,,Wheel of time,6,FALSE,английский,wheely
Robert Jordan,A Crown of Swords,1996,фэнтези,FALSE,,Wheel of time,7,FALSE,английский,wheely
Robert Jordan,The Path of Daggers,1998,фэнтези,FALSE,,Wheel of time,8,FALSE,английский,wheely
Robert Jordan,Winter's Heart,2000,фэнтези,FALSE,,Wheel of time,9,FALSE,английский,wheely
Robert Jordan,Crossroads of Twilight,2003,фэнтези,FALSE,,Wheel of time,10,FALSE,английский,wheely
Robert Jordan,Knife of Dreams,2005,фэнтези,FALSE,,Wheel of time,11,FALSE,английский,wheely
"Robert Jordan, Brandon Sanderson",The Gathering Storm,2009,фэнтези,FALSE,,Wheel of time,12,FALSE,английский,wheely
"Robert Jordan, Brandon Sanderson",Towers of Midnight,2010,фэнтези,FALSE,,Wheel of time,13,FALSE,английский,wheely
Ольга Лиманец,Ведьмак. Неофициальная кулинарная книга,2023,"нонфик, сборник",TRUE,FALSE,,,TRUE,,Ведьмак
